,dma_name,median_income,poverty_rate,bach_plus_rate,grad_prof_rate,population,dma_race_total,pct_hispanic,pct_nh_white,pct_nh_black,pct_nh_aian,pct_nh_asian,pct_nh_nhpi,pct_nh_sor,pct_nh_two_plus,search_interest,score_all_ela,score_all_math,score_all_ela_g5,score_all_ela_g6,score_all_ela_g7,score_all_ela_g8,score_all_math_g3,score_all_math_g4,score_all_math_g5,score_all_math_g6,score_all_ela_g3,score_all_ela_g4,score_all_math_g7,score_all_math_g8,cluster_id
37,Chicago IL,72135.70339613565,11.888170763831292,37.55791470355212,14.783968158966312,9670609.0,9670609.0,21.82384790864774,53.385396927949415,16.19744940571995,0.0983081830730618,6.459241605156407,0.023276714010462,0.1799369615708793,1.8325422938720817,12.087718012472152,5.601107419156637,5.619404617276189,5.060452601527049,6.091315368953099,7.119487217392181,8.154102177747797,2.900189576286325,3.9594849501212783,5.069548941059069,6.134028651823104,3.0438436180962887,3.9880017879631215,7.220778963352017,8.287231365383809,2
38,Chico-Redding CA,51720.49270236286,18.52704710733229,22.85561870603625,7.498418085187886,518524.0,518524.0,16.343891507432637,73.47278043060687,1.214987155850067,1.5355123388695606,3.4526849287593246,0.151005546512794,0.1087702787141964,3.720367813254546,22.18933958868848,4.6901991523703375,4.61249855592914,4.167311893274187,5.092497844230596,6.3281856847778055,7.095345578073612,1.932482975207918,3.069284483595551,4.016370085082395,4.843264129512526,2.19194778557228,3.2707664535008267,6.480428837119999,7.349720031962645,0
39,Cincinnati OH,63592.10136151371,12.612899998840785,32.25297287033301,12.154632980590614,2383597.0,2383597.0,3.0793376564914285,80.7195595564183,11.158220118585485,0.0984226779946442,2.417438853967344,0.0387649422280695,0.1467949489783717,2.341461245336355,21.00612903016263,5.8307270470336325,5.067686618098853,5.339807011231547,6.352354224529522,7.249294215480184,8.27308723085392,3.200035790835955,4.20678308465236,5.304189101301779,6.255324891380791,3.4061646632744176,4.336879797679533,7.084891182239584,7.813210260069189,2
40,Clarksburg-Weston WV,46729.94908069592,17.55649001729227,19.202999385630044,7.283172039340681,269171.0,269171.0,1.29025786581764,94.44182322761368,2.085291506142935,0.176467747268465,0.477763206288939,0.0092877761720244,0.2054456089251813,1.3136630617711418,68.51755617977527,5.422149144366238,4.548639358430634,,,,,2.1516525383282668,3.1186961600692578,4.00289329494239,4.956610329256023,,,6.012225425015211,6.970772128359157,0
41,Cleveland-Akron (Canton) OH,56011.3932543456,13.847770087880871,28.12847966706696,10.7843122482774,3818399.0,3818399.0,4.249739223166568,77.04367720607512,14.090538992912998,0.1471297263591364,1.973287757513031,0.014456320567861,0.1631573861191562,2.318013387286137,17.644963176219886,5.751902205573724,4.570843572065593,5.1927166482101255,6.184267156191027,7.231274237432194,8.348990595769466,2.9522074786552226,4.040639202806406,5.162405600178805,6.083569238927643,3.2165235777693555,4.227473812453352,,,0
42,Colorado Springs-Pueblo CO,62432.111675275206,12.311140792959671,33.239305819824125,12.684488031532744,992619.0,992619.0,22.04491350659216,66.64571200027403,4.785219706654819,0.4798417116738647,2.123473356846887,0.2624370478501822,0.2313072790264945,3.427095391081573,23.58952590461867,4.954742664950283,4.643289666471309,5.532789848343088,6.333344947151439,,,3.13120246502493,4.220043272699235,5.204136970161841,5.976342802910041,3.458544529530845,4.452749448047596,,,2
43,Columbia SC,52290.812105342,16.517165234663015,29.019677578745608,11.16868202574809,1108238.0,1108238.0,5.076075716587953,52.931770973382974,37.49573647537803,0.2368624789981935,1.7696559764238369,0.0868946922953372,0.2036566152757801,2.199347071657893,25.309811314221427,4.803117388915692,4.692485018710259,4.306701684169748,5.339568875166785,6.239509462668451,7.290264692271037,2.480151508686904,3.299170399891559,4.274232849980067,5.155914668884011,2.393531893110456,3.2774242310759862,5.9741219893425,6.996258838480191,4
44,Columbia-Jefferson City MO,53773.22406740923,15.104993784863376,30.366643204545312,11.785911313181272,480409.0,480409.0,2.758274720082264,85.2350809414478,6.743212554302688,0.4004920807062316,2.104873139345849,0.074103524288679,0.1196896810842428,2.564273358742238,34.46285268160953,5.254036278155385,4.811447212172745,4.699352367905149,5.818112940386486,6.814446838715585,7.604500584717292,2.595729218496837,3.68198293979453,4.837804910594362,5.934812642055327,2.776218029859487,3.698393294550259,6.8823504115487415,,0
45,Columbus GA,46917.62927673014,20.33648882745105,24.73064259325099,10.148500821855691,597799.0,597799.0,5.562572035082026,52.14260980697526,37.1225110781383,0.2530951038727064,2.370027383786189,0.0627301149717547,0.2087658226259997,2.2776886545477657,35.26747538176109,4.73205395529457,4.458524270108803,4.307809451865453,5.236261903533478,6.15547580352856,7.242503965015887,2.0673992078421164,2.851459952956321,4.130221318161465,4.870882862918635,2.5178917801438927,3.1597947029409323,5.879305812119401,7.197452223208773,4
46,Columbus OH,63944.91873496767,13.619842713616956,33.02240919451332,11.959913383300249,2501691.0,2501691.0,3.742188783506837,76.18786652708108,13.187040285950582,0.1433030698035848,3.5986059029672326,0.0283408302624105,0.206620242068265,2.906034358360005,18.993909014961645,5.629022433060218,4.419583153659561,5.1959379830883705,6.144194921790392,7.157429996757866,8.179283182727447,2.7867891257912696,3.879838238060303,4.907502778139357,6.138558363565233,3.078346149474415,4.18072616538498,,,2
47,Columbus-Tupelo-West Point MS,43211.335006378016,19.957088725125264,19.861190691828547,7.6680898779488516,492316.0,492316.0,2.4985984611509684,64.92009197344795,30.30431673965501,0.1858562386759723,0.810658195142957,0.012187294339408,0.1186229982369047,1.1496680993508237,74.21598258308254,5.422221520984005,5.448484116028599,5.0595013769861925,5.910732497412602,6.614825484623133,7.451977563562824,3.50606351712669,4.198487978599979,5.113481338649465,5.947910379697413,3.314954924596041,4.212183023095966,6.53666995028983,7.414788600359826,4
48,Corpus Christi TX,52396.937576843535,18.384572560762656,19.180820207428265,6.439679069373117,601059.0,601059.0,63.39510763502418,30.67635623125184,3.109178965792044,0.2156194317030441,1.6088270868583616,0.0502446515233945,0.0482481753039219,0.8964178225432112,41.47619712271816,5.39541744897442,4.336594146940655,4.156438971041268,5.0051363896009855,5.75951450480437,6.710433503632199,3.31992360053106,4.036473435986572,4.68865509719215,5.252924501715937,,,,,1
49,Dallas-Ft. Worth TX,69830.27961435178,11.951754956742963,33.70507515373624,11.672383846403529,7995473.0,7995473.0,27.818516803196008,48.39696163066275,14.829566681045636,0.3101254922629343,6.319013271635086,0.1034710516813701,0.17531170451079,2.0470333650054227,17.177842706655063,6.088545734128591,4.895740223305697,4.786936613543135,5.671255981135606,6.533274795695505,7.420939395995979,3.5087108741165483,4.388671640643561,5.3011186911747865,6.3249126266132185,,,,,2
50,Davenport IA-Rock Island-Moline IL,55844.18496345989,12.533761875041463,23.3101087654382,8.028621683945795,760534.0,760534.0,8.194242466477501,82.63351802812234,5.202791722658027,0.2191880967846276,1.632668624939845,0.0483870543591739,0.1124210094486242,1.956782997209856,23.84995216317221,5.225772592776963,5.102405858586977,4.713403623692938,5.661825029817132,6.722904356180424,7.638692849946548,2.715823824295383,3.7019453923663663,4.702604464168213,5.536569470588448,2.7591435552181367,3.771515830783378,6.532019025072898,7.332559346917778,0
51,Dayton OH,55936.71517241,13.670993113499849,25.19034948810489,10.302349561758858,1271011.0,1271011.0,2.609182768677848,81.54414084535854,10.917529431295243,0.1648294153237068,1.653644224951633,0.0455542870990101,0.1584565357813583,2.906662491512662,19.973097703666525,5.537739734891362,4.505404670906893,5.007929764972846,6.090610900161778,7.155645986537287,8.167078384201666,2.752984719424145,3.902019935165844,4.991569798856931,6.117462927971156,2.915826052730314,3.986018825167286,6.246024559465638,7.359072197278768,0
52,Denver CO,77354.18706419667,9.773645157833108,42.86471122583077,15.973385707628914,4476073.0,4476073.0,21.42232711575526,68.23132687961076,3.891647879737439,0.4431339703351576,3.419425911954519,0.1083539075435096,0.1764046296832066,2.30737970538014,14.821154515100556,4.733599168506304,4.508412808810761,5.2743724553782405,6.092672814326117,6.8499645504879005,7.705035398998685,3.2075904056634297,4.127927239238054,5.135657138140601,5.938696495737974,3.5710472982913584,4.407411252647523,7.325316727751661,8.458252977050845,2
53,Des Moines-Ames IA,63954.70702099821,10.923391828344052,31.94945101547914,9.963435510480611,1171671.0,1171671.0,6.373546840367304,84.63937402222979,3.488863341330459,0.1796579415211266,3.311595149150231,0.0711803910824796,0.055476323985146,1.880305990333464,14.110550798226509,5.608880312104415,5.725339104694054,5.088115453752935,6.1656362853456965,7.059402861677694,7.923112433590973,3.182335375306839,4.275669693905607,5.256041631401816,6.327101227468031,3.1621289499757115,4.244040342730902,7.215146357124664,8.072452368968825,2
